date,cash,equity,positions,benchmark_equity
2024-01-02,0.0,100000.0,10,100000.0
2024-01-03,0.0,99878.32809211261,10,99198.36850772692
2024-01-04,0.0,100765.50130984209,10,98858.2786764067
2024-01-05,0.0,100466.03855379735,10,99038.76286944644
2024-01-08,0.0,100780.45267532294,10,100436.65829465447
2024-01-09,0.0,100673.65206030136,10,100288.2228890731
2024-01-10,0.0,100621.98047755775,10,100856.45314123415
2024-01-11,0.0,99985.51935946954,10,100788.77285573742
2024-01-12,0.0,100545.89863333426,10,100864.46276431243
2024-01-15,0.0,100434.3385388292,10,100864.46276431243
2024-01-16,0.0,99934.59570763414,10,100488.10313594245
2024-01-17,0.0,98578.68438698976,10,99923.67179241363
2024-01-18,0.0,98588.08902777062,10,100803.52579901653
2024-01-19,0.0,97813.31506178167,10,102044.77029265804
2024-01-22,0.0,97899.1910067884,10,102268.6897039075
2024-01-23,0.0,98558.84001258068,10,102567.45482181369
2024-01-24,0.0,99045.4512160261,10,102650.7322525078
2024-01-25,0.0,99204.35932122271,10,103190.71262584272
2024-01-26,0.0,100181.26365757984,10,103123.4544413051
2024-01-29,0.0,100138.77024134003,10,103902.73517303463
2024-01-30,0.0,99593.05581483697,10,103840.32600195443
2024-01-31,0.0,100107.33439706686,10,102167.90023098188
2024-02-01,0.0,100078.31512258294,10,103444.3541217026
2024-02-02,0.0,100032.6163887161,10,104549.59974533928
2024-02-05,0.0,100400.99642407986,10,104216.46943227215
2024-02-06,0.0,101340.88463946832,10,104457.2522915964
2024-02-07,0.0,101412.63764950272,10,105318.13234532884
2024-02-08,0.0,101842.03166634736,10,105378.22510870645
2024-02-09,0.0,101777.18862694711,10,105983.34286663793
2024-02-12,0.0,101968.16349117919,10,105882.76959176455
2024-02-13,0.0,101079.96935052736,10,104434.90153105283
2024-02-14,0.0,101281.26489433949,10,105435.3631653701
2024-02-15,0.0,101785.02196118407,10,106049.12884539121
2024-02-16,0.0,102114.15363702414,10,105539.72505373038
2024-02-19,0.0,102255.62374734483,10,105539.72505373038
2024-02-20,0.0,102000.92580120504,10,104905.92502086826
2024-02-21,0.0,101977.6217835809,10,105038.54708320001
2024-02-22,0.0,102383.66545369328,10,107257.26415160384
2024-02-23,0.0,102514.68024265874,10,107294.58405347876
2024-02-26,0.0,102418.88627938951,10,106888.2861424461
2024-02-27,0.0,102021.50254275964,10,107070.67493737463
2024-02-28,0.0,101396.60219048867,10,106893.13515590351
2024-02-29,0.0,100650.35769110658,10,107452.08948210889
2024-03-01,0.0,101394.14678134314,10,108312.54743488217
2024-03-04,0.0,101132.09117033948,10,108183.30218022352
2024-03-05,0.0,100568.84033968698,10,107080.57886719632
2024-03-06,0.0,100771.95378638129,10,107631.09117421898
2024-03-07,0.0,102235.18189670602,10,108740.13570648788
2024-03-08,0.0,102422.05558825197,10,108030.22366409165
2024-03-11,0.0,102282.81432972224,10,107908.98803251126
2024-03-12,0.0,103667.80903130308,10,109117.76163773525
2024-03-13,0.0,103921.17269828514,10,108907.76126299196
2024-03-14,0.0,103358.84331605784,10,108595.0771085796
2024-03-15,0.0,102822.70131577709,10,107891.06418446594
2024-03-18,0.0,101833.13949061322,10,108572.72634803603
2024-03-19,0.0,102159.49127189314,10,109186.06992709801
2024-03-20,0.0,102430.9649151863,10,110158.28168258915
2024-03-21,0.0,102913.65931575035,10,110514.812861025
2024-03-22,0.0,103009.95943539146,10,110359.85033329503
2024-03-25,0.0,102988.55861223977,10,110022.70491354342
2024-03-26,0.0,103581.18368470011,10,109714.66386968158
2024-03-27,0.0,103618.00454062792,10,110661.57015791518
2024-03-28,0.0,103970.98328320275,10,110785.12219719816
2024-04-02,0.0,103532.90516100114,10,109761.6817984713
2024-04-03,0.0,104046.22174480521,10,109881.44522426739
2024-04-04,0.0,104035.13126175848,10,108526.13052020545
