date,cash,equity,positions,benchmark_equity
2024-01-02,0.0,100000.0,20,100000.0
2024-01-03,0.0,99972.33337250062,20,99198.36850772692
2024-01-04,0.0,100326.4480833161,20,98858.2786764067
2024-01-05,0.0,100209.84348951287,20,99038.76286944644
2024-01-08,0.0,101116.16777208864,20,100436.65829465447
2024-01-09,0.0,101008.14778677069,20,100288.2228890731
2024-01-10,0.0,101212.62333795948,20,100856.45314123415
2024-01-11,0.0,101259.40007586453,20,100788.77285573742
2024-01-12,0.0,101723.4310376182,20,100864.46276431243
2024-01-16,0.0,101071.82143165846,20,100488.10313594245
2024-01-17,0.0,100729.35423424841,20,99923.67179241363
2024-01-18,0.0,101223.4919938288,20,100803.52579901653
2024-01-19,0.0,102269.27637551699,20,102044.77029265804
2024-01-22,0.0,101658.20694597786,20,102268.6897039075
2024-01-23,0.0,101894.90392741044,20,102567.45482181369
2024-01-24,0.0,102063.83434364929,20,102650.7322525078
2024-01-25,0.0,103308.26159799084,20,103190.71262584272
2024-01-26,0.0,103349.68637474523,20,103123.4544413051
2024-01-29,0.0,103833.8644680644,20,103902.73517303463
2024-01-30,0.0,103775.69505143927,20,103840.32600195443
2024-01-31,0.0,102809.00143202029,20,102167.90023098188
2024-02-01,0.0,103994.84086496373,20,103444.3541217026
2024-02-02,0.0,103338.7206259667,20,104549.59974533928
2024-02-05,0.0,103233.65204330819,20,104216.46943227215
2024-02-06,0.0,103488.98895489096,20,104457.2522915964
2024-02-07,0.0,102843.74908067788,20,105318.13234532884
2024-02-08,0.0,102884.99098215219,20,105378.22510870645
2024-02-09,0.0,103047.32617404184,20,105983.34286663793
2024-02-12,0.0,103126.9414836155,20,105882.76959176455
2024-02-13,0.0,101709.42242079946,20,104434.90153105283
2024-02-14,0.0,102166.86288232873,20,105435.3631653701
2024-02-15,0.0,102431.71227148567,20,106049.12884539121
2024-02-16,0.0,101808.37797231175,20,105539.72505373038
2024-02-20,0.0,101523.217319892,20,104905.92502086826
2024-02-21,0.0,101895.81799395614,20,105038.54708320001
2024-02-22,0.0,103089.8382277378,20,107257.26415160384
2024-02-23,0.0,103102.93495432707,20,107294.58405347876
2024-02-26,0.0,102767.46906020553,20,106888.2861424461
2024-02-27,0.0,102571.21731943349,20,107070.67493737463
2024-02-28,0.0,102255.0742406762,20,106893.13515590351
2024-02-29,0.0,101899.82985722212,20,107452.08948210889
2024-03-01,0.0,102889.35567750991,20,108312.54743488217
2024-03-04,0.0,103070.31889773351,20,108183.30218022352
2024-03-05,0.0,102381.15677493627,20,107080.57886719632
2024-03-06,0.0,103256.05664505452,20,107631.09117421898
