ticker,shares,entry_date,entry_price,score
AAPL,16.942346312898,2024-12-27,254.20135498046875,75
ACN,14.930530786367747,2025-12-19,272.25,38
ADBE,15.208144234289959,2025-01-10,405.9200134277344,18
AMGN,24.476225260484266,2025-01-10,252.2157745361328,64
AZN,33.53848365032956,2024-12-27,128.41270446777344,70
BTI,72.96620530620687,2025-12-19,55.70848846435547,21
BUD,136.0863263774245,2025-01-10,45.36304473876953,38
CMCSA,188.62002440268148,2025-01-10,32.72871017456055,49
DIS,57.44649058540724,2025-01-10,107.4615707397461,76
EQNR,263.2377781856109,2025-01-10,23.451383590698242,57
INTU,9.969337435637874,2025-01-10,619.2277221679688,82
JNJ,45.02380443690467,2025-01-10,137.1116943359375,43
KO,71.48627831954803,2024-12-27,60.246070861816406,68
MRK,64.5377361850308,2025-01-10,95.65396118164062,60
NVO,73.53874445428069,2025-01-10,83.94609069824219,28
PH,9.912227042987979,2025-01-10,622.7954711914062,83
SNY,92.29656908928138,2024-12-27,46.662269592285156,75
TM,34.30976963724471,2025-01-10,179.9280548095703,82
TSM,21.647559634250623,2024-12-27,198.94932556152344,74
UBER,70.45259797211725,2024-12-27,61.130001068115234,74
