date,target_rank,ticker,company_name,sector,industry,final_score,composite_score,roc_rank,ey_rank,momentum_rank
2024-01-02,1,ADBE,Adobe Inc.,Technology,Software - Application,18,18,4,14,
2024-01-02,2,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,21,21,3,18,
2024-01-02,3,NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,28,28,26,2,
2024-01-02,4,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,38,38,19,19,
2024-01-02,5,ACN,Accenture plc,Technology,Information Technology Services,38,38,25,13,
2024-01-02,6,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,40,40,9,31,
2024-01-02,7,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,42,42,15,27,
2024-01-02,8,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,43,43,11,32,
2024-01-02,9,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,45,45,33,12,
2024-01-02,10,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,47,47,6,41,
2024-01-02,11,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,48,48,28,20,
2024-01-02,12,CMCSA,Comcast Corporation,Communication Services,Telecom Services,49,49,44,5,
2024-01-02,13,NVS,Novartis AG,Healthcare,Drug Manufacturers - General,52,52,17,35,
2024-01-02,14,SAP,SAP SE,Technology,Software - Application,54,54,10,44,
2024-01-02,15,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,57,57,24,33,
2024-01-02,16,EQNR,Equinor ASA,Energy,Oil & Gas Integrated,57,57,54,3,
2024-01-02,17,IBM,International Business Machines Corporation,Technology,Information Technology Services,59,59,7,52,
2024-01-02,18,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,60,60,38,22,
2024-01-02,19,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,64,64,21,43,
2024-01-02,20,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,65,65,1,64,
2024-01-05,1,ADBE,Adobe Inc.,Technology,Software - Application,18,18,4,14,
2024-01-05,2,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,21,21,3,18,
2024-01-05,3,NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,28,28,26,2,
2024-01-05,4,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,38,38,19,19,
2024-01-05,5,ACN,Accenture plc,Technology,Information Technology Services,38,38,25,13,
2024-01-05,6,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,40,40,9,31,
2024-01-05,7,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,42,42,15,27,
2024-01-05,8,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,43,43,11,32,
2024-01-05,9,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,45,45,33,12,
2024-01-05,10,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,47,47,6,41,
2024-01-05,11,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,48,48,28,20,
2024-01-05,12,CMCSA,Comcast Corporation,Communication Services,Telecom Services,49,49,44,5,
2024-01-05,13,NVS,Novartis AG,Healthcare,Drug Manufacturers - General,52,52,17,35,
2024-01-05,14,SAP,SAP SE,Technology,Software - Application,54,54,10,44,
2024-01-05,15,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,57,57,24,33,
2024-01-05,16,EQNR,Equinor ASA,Energy,Oil & Gas Integrated,57,57,54,3,
2024-01-05,17,IBM,International Business Machines Corporation,Technology,Information Technology Services,59,59,7,52,
2024-01-05,18,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,60,60,38,22,
2024-01-05,19,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,64,64,21,43,
2024-01-05,20,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,65,65,1,64,
2024-01-12,1,ADBE,Adobe Inc.,Technology,Software - Application,18,18,4,14,
2024-01-12,2,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,21,21,3,18,
2024-01-12,3,NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,28,28,26,2,
2024-01-12,4,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,38,38,19,19,
2024-01-12,5,ACN,Accenture plc,Technology,Information Technology Services,38,38,25,13,
2024-01-12,6,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,40,40,9,31,
2024-01-12,7,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,42,42,15,27,
2024-01-12,8,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,43,43,11,32,
2024-01-12,9,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,45,45,33,12,
2024-01-12,10,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,47,47,6,41,
2024-01-12,11,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,48,48,28,20,
2024-01-12,12,CMCSA,Comcast Corporation,Communication Services,Telecom Services,49,49,44,5,
2024-01-12,13,NVS,Novartis AG,Healthcare,Drug Manufacturers - General,52,52,17,35,
2024-01-12,14,SAP,SAP SE,Technology,Software - Application,54,54,10,44,
2024-01-12,15,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,57,57,24,33,
2024-01-12,16,EQNR,Equinor ASA,Energy,Oil & Gas Integrated,57,57,54,3,
2024-01-12,17,IBM,International Business Machines Corporation,Technology,Information Technology Services,59,59,7,52,
2024-01-12,18,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,60,60,38,22,
2024-01-12,19,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,64,64,21,43,
2024-01-12,20,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,65,65,1,64,
2024-01-19,1,ADBE,Adobe Inc.,Technology,Software - Application,18,18,4,14,
2024-01-19,2,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,21,21,3,18,
2024-01-19,3,NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,28,28,26,2,
2024-01-19,4,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,38,38,19,19,
2024-01-19,5,ACN,Accenture plc,Technology,Information Technology Services,38,38,25,13,
2024-01-19,6,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,40,40,9,31,
2024-01-19,7,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,42,42,15,27,
2024-01-19,8,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,43,43,11,32,
2024-01-19,9,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,45,45,33,12,
2024-01-19,10,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,47,47,6,41,
2024-01-19,11,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,48,48,28,20,
2024-01-19,12,CMCSA,Comcast Corporation,Communication Services,Telecom Services,49,49,44,5,
2024-01-19,13,NVS,Novartis AG,Healthcare,Drug Manufacturers - General,52,52,17,35,
2024-01-19,14,SAP,SAP SE,Technology,Software - Application,54,54,10,44,
2024-01-19,15,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,57,57,24,33,
2024-01-19,16,EQNR,Equinor ASA,Energy,Oil & Gas Integrated,57,57,54,3,
2024-01-19,17,IBM,International Business Machines Corporation,Technology,Information Technology Services,59,59,7,52,
2024-01-19,18,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,60,60,38,22,
2024-01-19,19,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,64,64,21,43,
2024-01-19,20,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,65,65,1,64,
2024-01-26,1,ADBE,Adobe Inc.,Technology,Software - Application,18,18,4,14,
2024-01-26,2,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,21,21,3,18,
2024-01-26,3,NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,28,28,26,2,
2024-01-26,4,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,38,38,19,19,
2024-01-26,5,ACN,Accenture plc,Technology,Information Technology Services,38,38,25,13,
2024-01-26,6,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,40,40,9,31,
2024-01-26,7,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,42,42,15,27,
2024-01-26,8,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,43,43,11,32,
2024-01-26,9,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,45,45,33,12,
2024-01-26,10,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,47,47,6,41,
2024-01-26,11,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,48,48,28,20,
2024-01-26,12,CMCSA,Comcast Corporation,Communication Services,Telecom Services,49,49,44,5,
2024-01-26,13,NVS,Novartis AG,Healthcare,Drug Manufacturers - General,52,52,17,35,
2024-01-26,14,SAP,SAP SE,Technology,Software - Application,54,54,10,44,
2024-01-26,15,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,57,57,24,33,
